,rownum,xA,yA,zA,xC,yC,zC,rA,rB,rC,TF,Eg,duplicated,predicted,test,error
70,81.0,0.4,0.6,0.0,0.0,0.6,0.4,1.964,1.19,2.056,0.8757144979574616,1.82,0,1.5237715867045591,1.0,0.16276286444804444
71,82.0,0.3,0.7,0.0,0.0,0.7,0.3,2.013,1.19,2.032,0.8877240626628133,1.87,0,1.5184503904729179,,0.18799444359737016
72,83.0,0.2,0.8,0.0,0.0,0.8,0.2,2.0620000000000003,1.19,2.008,0.899913883498827,1.95,0,1.5131301169039746,,0.22403583748514122
73,84.0,0.1,0.9,0.0,0.0,0.9,0.1,2.111,1.19,1.984,0.9122880494514533,2.06,0,1.507810786927696,,0.26805301605451654
74,85.0,0.0,1.0,0.0,0.0,1.0,0.0,2.16,1.19,1.96,0.9248507741233574,2.17,0,1.5024924221119145,,0.3076071787502698
75,86.0,0.7,0.0,0.3,0.0,0.3,0.7,1.928,1.19,2.128,0.8643836963510055,1.72,0,1.5287254403804926,,0.11120613931366706
76,87.0,0.6,0.0,0.4,0.0,0.4,0.6,2.014,1.19,2.104,0.8839908090243481,1.76,0,1.5197310817277618,,0.13651643083649898
77,88.0,0.5,0.0,0.5,0.0,0.5,0.5,2.1,1.19,2.08,0.903885732525923,1.81,0,1.5107381962693924,,0.16533801311083293
78,89.0,0.4,0.0,0.6,0.0,0.6,0.4,2.186,1.19,2.056,0.9240748508297394,1.85,0,1.5017468166825234,,0.18824496395539278
79,90.0,0.3,0.0,0.7,0.0,0.7,0.3,2.272,1.19,2.032,0.9445647381213222,1.92,0,1.492756976617915,,0.2225224080115026
80,91.0,0.2,0.0,0.8,0.0,0.8,0.2,2.358,1.19,2.008,0.9653621659351052,1.97,0,1.483768710736481,,0.24681791333173553
81,92.0,0.1,0.0,0.9,0.0,0.9,0.1,2.4439999999999995,1.19,1.984,0.986474110615637,2.08,0,1.4747820547474801,,0.29097016598678843
82,93.0,0.0,0.0,1.0,0.0,1.0,0.0,2.53,1.19,1.96,1.0079077611198726,2.16,0,1.4657970454484543,,0.32139025673682675
86,97.0,0.0,0.6,0.4,0.0,0.4,0.6,2.308,1.19,2.104,0.947102343228612,1.76,0,1.5697836367272684,,0.10807747913223387
87,98.0,0.0,0.5,0.5,0.0,0.5,0.5,2.345,1.19,2.08,0.9568646809634472,1.77,0,1.5524506345731592,,0.12290924600386485
88,99.0,0.0,0.5,0.5,0.0,0.5,0.5,2.345,1.19,2.08,0.9568646809634472,1.8,0,1.5524506345731592,1.0,0.13752742523713377
89,100.0,0.0,0.4,0.6,0.0,0.6,0.4,2.382,1.19,2.056,0.9667713785908496,1.91,0,1.535118371342533,,0.19627310400914502
90,101.0,0.0,0.3,0.7,0.0,0.7,0.3,2.419,1.19,2.032,0.9768256620302056,1.96,0,1.517786863547647,,0.22561894716956782
91,102.0,0.0,0.2,0.8,0.0,0.8,0.2,2.456,1.19,2.008,0.987030854039008,2.01,0,1.5004561281964348,,0.2535044138326194
92,103.0,0.0,0.1,0.9,0.0,0.9,0.1,2.493,1.19,1.984,0.9973903778740306,2.07,0,1.4831261828112483,,0.283513921347223
93,104.0,0.0,0.0,1.0,0.0,1.0,0.0,2.53,1.19,1.96,1.0079077611198726,2.16,1,1.4657970454484543,1.0,0.32139025673682675
107,118.0,1.0,0.0,0.0,0.0,0.6,0.4,1.67,1.19,2.056,0.8116697063157967,1.77,0,1.473714254714545,,0.16739307643246046
111,122.0,0.0,1.0,0.0,0.0,1.0,0.0,2.16,1.19,1.96,0.9248507741233574,2.3,0,1.5024924221119145,,0.34674242516873277
112,123.0,0.0,1.0,0.0,0.333,0.667,0.0,2.16,1.19,1.91005,0.9283592054219472,2.5,0,1.5081753296634755,,0.3967298681346098
113,124.0,0.0,1.0,0.0,0.5,0.5,0.0,2.16,1.19,1.885,0.930161603219377,2.65,0,1.5110255359951452,,0.42980168453013384
114,125.0,0.0,1.0,0.0,0.667,0.333,0.0,2.16,1.19,1.85995,0.9319936081020546,2.75,0,1.5138758938742436,,0.4494996749548205
115,126.0,0.0,1.0,0.0,1.0,0.0,0.0,2.16,1.19,1.81,0.935737973770198,3.1,0,1.5195600090842694,,0.5098193519083002
