,rownum,xA,yA,zA,xC,yC,zC,rA,rB,rC,TF,Eg,duplicated,predicted,test,error
0,11,0.0,1.0,0.0,1.0,0.0,0.0,2.16,1.19,1.81,0.935737973770198,3.07,0,2.5449791497727876,1.0,0.17101656359192582
1,12,0.0,1.0,0.0,0.67,0.33,0.0,2.16,1.19,1.8595,0.932026793565938,2.85,0,2.553395026019729,,0.10407192069483191
