,xA,yA,zA,xC,yC,zC,rA,rB,rC,TF,pred_Linear_Regression,pred_Random_Forest_Regression,pred_Random_Forest_Regression1,pred_Gradient_Boosting_Regression,pred_Kernel_Ridge_Regression
1809,0.1,0.4,0.5,0.0,0.0,1.0,2.2960000000000003,1.19,2.2,0.937802975874548,1.513916015625,1.5383365827112527,1.5375558879060578,1.5422227355445464,1.532091140857807
1885,0.1,0.5,0.4,0.0,0.0,1.0,2.2590000000000003,1.19,2.2,0.9300852912421284,1.5294189453125,1.539178756624296,1.538398061819101,1.5397644477251362,1.5424596593835882
1961,0.1,0.6,0.3,0.0,0.0,1.0,2.222,1.19,2.2,0.922367606609709,1.544921875,1.539178756624296,1.538398061819101,1.54761057516593,1.5528281779093671
2037,0.1,0.7,0.2,0.0,0.0,1.0,2.185,1.19,2.2,0.9146499219772892,1.5604248046875,1.552097841152298,1.5541091551190334,1.5496230722540902,1.5631966964351491
2113,0.1,0.8,0.1,0.0,0.0,1.0,2.148,1.19,2.2,0.90693223734487,1.5760498046875,1.5733006204473583,1.5847033136362143,1.5829418531498685,1.573565214960932
2816,0.2,0.0,0.8,0.0,0.0,1.0,2.358,1.19,2.2,0.9507353122856292,,1.5383365827112527,1.5375558879060578,1.5451019665375496,
2894,0.2,0.1,0.7,0.0,0.0,1.0,2.321,1.19,2.2,0.9430176276532096,,1.5383365827112527,1.5375558879060578,1.5556573312265338,1.5020230878094996
2971,0.2,0.2,0.6,0.0,0.0,1.0,2.284,1.19,2.2,0.9352999430207902,1.504150390625,1.539178756624296,1.538398061819101,1.548560927387151,1.512391606335279
3047,0.2,0.3,0.5,0.0,0.0,1.0,2.247,1.19,2.2,0.9275822583883706,1.5196533203125,1.539178756624296,1.538398061819101,1.5577665691400706,1.5227601248610614
3123,0.2,0.4,0.4,0.0,0.0,1.0,2.21,1.19,2.2,0.9198645737559512,1.5352783203125,1.539178756624296,1.538398061819101,1.5622274215778411,1.5331286433868403
3199,0.2,0.5,0.3,0.0,0.0,1.0,2.173,1.19,2.2,0.9121468891235316,1.5506591796875,1.5709970207663375,1.5835798691917702,1.5906141275110286,1.543497161912621
3275,0.2,0.6,0.2,0.0,0.0,1.0,2.136,1.19,2.2,0.904429204491112,1.5662841796875,1.572038081372398,1.5857443742422752,1.5906141275110286,1.553865680438402
3828,0.3,0.0,0.7,0.0,0.0,1.0,2.272,1.19,2.2,0.9327969101670324,,1.539178756624296,1.538398061819101,1.5642536848867874,
3904,0.3,0.1,0.6,0.0,0.0,1.0,2.235,1.19,2.2,0.9250792255346132,1.510009765625,1.539178756624296,1.538398061819101,1.5759601169735356,1.5030605903385306
3980,0.3,0.2,0.5,0.0,0.0,1.0,2.198,1.19,2.2,0.9173615409021934,1.5255126953125,1.545970109166637,1.5541091551190334,1.569200696525997,1.513429108864314
4056,0.3,0.3,0.4,0.0,0.0,1.0,2.161,1.19,2.2,0.909643856269774,1.5408935546875,1.5709970207663375,1.5835798691917702,1.5991763687699472,1.523797627390095
4129,0.3,0.4,0.3,0.0,0.0,1.0,2.124,1.19,2.2,0.9019261716373542,1.5565185546875,1.5765636990355156,1.5902699919053926,1.6037148647426651,1.5341661459158726
4483,0.4,0.0,0.6,0.0,0.0,1.0,2.186,1.19,2.2,0.9148585080484356,1.5155029296875,1.5538336744856316,1.5541091551190334,1.5810139656103697,
4560,0.4,0.1,0.5,0.0,0.0,1.0,2.149,1.19,2.2,0.9071408234160162,1.53125,1.5727328540996708,1.5847033136362143,1.6133264341502227,1.504098092867565
2,0.0,0.0,1.0,0.0,0.1,0.9,2.53,1.19,2.176,0.9886050244396588,1.5028076171875,1.5381512788835017,1.5383224788151486,1.5298977988811922,1.5532665623868236
86,0.0,0.1,0.9,0.0,0.1,0.9,2.493,1.19,2.176,0.9808323117528196,1.5166015625,1.5381512788835017,1.5383224788151486,1.5360572085241502,1.5636226552509505
167,0.0,0.2,0.8,0.0,0.1,0.9,2.456,1.19,2.176,0.9730595990659796,1.5306396484375,1.5381512788835017,1.5383224788151486,1.5395204014433157,1.57397874811508
244,0.0,0.3,0.7,0.0,0.1,0.9,2.419,1.19,2.176,0.96528688637914,1.54443359375,1.5381512788835017,1.5383224788151486,1.528899003139173,1.5843348409792064
322,0.0,0.4,0.6,0.0,0.1,0.9,2.382,1.19,2.176,0.9575141736923004,1.558349609375,1.5381512788835017,1.5383224788151486,1.554783947498345,1.5946909338433335
398,0.0,0.5,0.5,0.0,0.1,0.9,2.345,1.19,2.176,0.9497414610054608,1.5723876953125,1.5381512788835017,1.5383224788151486,1.5361214899201312,1.6050470267074617
475,0.0,0.6,0.4,0.0,0.1,0.9,2.308,1.19,2.176,0.9419687483186212,1.5863037109375,1.5381512788835017,1.5383224788151486,1.5459540747279417,1.61540311957159
552,0.0,0.7,0.3,0.0,0.1,0.9,2.271,1.19,2.176,0.9341960356317814,1.6002197265625,1.5389934527965448,1.539164652728192,1.5455954166467505,1.6257592124357183
630,0.0,0.8,0.2,0.0,0.1,0.9,2.234,1.19,2.176,0.926423322944942,1.6141357421875,1.5389934527965448,1.539164652728192,1.5577630630645107,1.636115305299843
