Feature,A1,A2,A3,B,C1,C2,C3,xA,yA,zA,xC,yC,zC,bandgap eV,checking,bandgap (Sona),measured/calculated,crystal or device (multilayer film structure),AB-,Link
29,Cs,MA,FA,Pb,Cl,Br,I,,,1.0000,,0.17,0.83,1.6300,correct,TRUE,,crsytal,same article,A Review on Energy Band‐Gap Engineering for Perovskite Photovoltaics - Hu - 2019 - Solar RRL - Wiley Online Library
30,Cs,MA,FA,Pb,Cl,Br,I,,,1.0000,,0.20,0.80,1.5500,correct,TRUE,,crsytal,same article,High Throughput Engineering of Hybrid Perovskite Semiconductors for Photovoltaic Applications (fau.de)
31,Cs,MA,FA,Pb,Cl,Br,I,,,1.0000,,0.30,0.70,1.6500,correct,TRUE,,crsytal,same article,High Throughput Engineering of Hybrid Perovskite Semiconductors for Photovoltaic Applications (fau.de)
32,Cs,MA,FA,Pb,Cl,Br,I,,,1.0000,,0.33,0.67,1.7200,correct,TRUE,,crsytal,same article,A Review on Energy Band‐Gap Engineering for Perovskite Photovoltaics - Hu - 2019 - Solar RRL - Wiley Online Library
33,Cs,MA,FA,Pb,Cl,Br,I,,,1.0000,,0.40,0.60,1.7400,correct,TRUE,,crsytal,same article,High Throughput Engineering of Hybrid Perovskite Semiconductors for Photovoltaic Applications (fau.de)
34,Cs,MA,FA,Pb,Cl,Br,I,,,1.0000,,0.50,0.50,1.7900,correct,TRUE,,crsytal,same article,High Throughput Engineering of Hybrid Perovskite Semiconductors for Photovoltaic Applications (fau.de)
35,Cs,MA,FA,Pb,Cl,Br,I,,,1.0000,,0.60,0.40,1.8500,correct,TRUE,,crsytal,same article,High Throughput Engineering of Hybrid Perovskite Semiconductors for Photovoltaic Applications (fau.de)
36,Cs,MA,FA,Pb,Cl,Br,I,,,1.0000,,0.67,0.33,1.9400,correct,TRUE,,crsytal,same article,https://onlinelibrary.wiley.com/doi/abs/10.1002/solr.201900304?msockid=2a4aeae0cfa064843133ff76ce72652c
37,Cs,MA,FA,Pb,Cl,Br,I,,,1.0000,,0.70,0.30,1.8900,correct,TRUE,,crsytal,same article,High Throughput Engineering of Hybrid Perovskite Semiconductors for Photovoltaic Applications (fau.de)
38,Cs,MA,FA,Pb,Cl,Br,I,,,1.0000,,0.80,0.20,1.9500,correct,TRUE,,crsytal,same article,High Throughput Engineering of Hybrid Perovskite Semiconductors for Photovoltaic Applications (fau.de)
39,Cs,MA,FA,Pb,Cl,Br,I,,,1.0000,,0.83,0.17,2.1100,correct,TRUE,,crsytal,same article,https://onlinelibrary.wiley.com/doi/abs/10.1002/solr.201900304?msockid=2a4aeae0cfa064843133ff76ce72652c
40,Cs,MA,FA,Pb,Cl,Br,I,,,1.0000,,0.90,0.10,2.0500,correct,TRUE,,crsytal,same article,High Throughput Engineering of Hybrid Perovskite Semiconductors for Photovoltaic Applications (fau.de)
41,Cs,MA,FA,Pb,Cl,Br,I,,,1.0000,,1.00,0.00,2.2000,correct,TRUE,,crystal,same article,A Review on Energy Band‐Gap Engineering for Perovskite Photovoltaics - Hu - 2019 - Solar RRL - Wiley Online Library
42,Cs,MA,FA,Pb,Cl,Br,I,1.0000,0,,,,1.00,1.7300,correct,TRUE,,crystal,"same article, correct",A Review on Energy Band‐Gap Engineering for Perovskite Photovoltaics - Hu - 2019 - Solar RRL - Wiley Online Library
43,Cs,MA,FA,Pb,Cl,Br,I,0.2500,0.7500,,,,1.00,1.6400,correct,TRUE,,crystal,same article,A Review on Energy Band‐Gap Engineering for Perovskite Photovoltaics - Hu - 2019 - Solar RRL - Wiley Online Library
44,Cs,MA,FA,Pb,Cl,Br,I,0.1500,0.8500,,,,1.00,1.6300,correct,TRUE,,crystal,same article,A Review on Energy Band‐Gap Engineering for Perovskite Photovoltaics - Hu - 2019 - Solar RRL - Wiley Online Library
