Feature,A1,A2,A3,B,C1,C2,C3,xA,yA,zA,xC,yC,zC,bandgap eV,checking,bandgap (Sona),measured/calculated,crystal or device (multilayer film structure),AB-,Link
114,Cs,MA,FA,Pb,Cl,Br,I,0.0500,0.1425,0.8075,,0.15,0.85,1.6200,not found,not found,,,not found,Reducing surficial and interfacial defects by thiocyanate ionic liquid additive and ammonium formate passivator for efficient and stable perovskite solar cells | Nano Research (springer.com)
115,Cs,MA,FA,Pb,Cl,Br,I,0.1000,0.1350,0.7650,,0.15,0.85,1.6000,correct,TRUE,,layer PVK,correct,Interface Defects Passivation and Conductivity Improvement in Planar Perovskite Solar Cells Using Na2S-Doped Compact TiO2 Electron Transport Layers
116,Cs,MA,FA,Pb,Cl,Br,I,0.0500,0.1400,0.8100,,0.15,0.85,1.5500,correct,TRUE,,PSCP,correct,Interface Engineering of electron Transport Layer‐Free Planar Perovskite Solar Cells with Efficiency Exceeding 15 % - Huang - 2017 - Energy Technology - Wiley Online Library
117,Cs,MA,FA,Pb,Cl,Br,I,,0.0500,0.9500,,0.05,0.95,1.5100,correct,TRUE,,film,correct,A fluorene-terminated hole-transporting material for highly efficient and stable perovskite solar cells | Nature Energy
118,Cs,MA,FA,Pb,Cl,Br,I,1.0000,,,,0.60,0.40,1.7700,,,,,-------,
119,Cs,MA,FA,Pb,Cl,Br,I,0.0500,0.1615,0.7885,0.17,,0.83,1.5500,correct,TRUE,,perovskite film,correct,Mixing cations and halide anions in perovskite solar cells - ScienceDirect
120,Cs,MA,FA,Pb,Cl,Br,I,0.0500,0.1600,0.7900,,0.16,0.84,1.6000,correct,TRUE,,film,correct,(PDF) Optical properties of CsFAMA-based perovskite film and its application in the inverted solar cells with poly(methyl methacrylate) passivation layer (researchgate.net)
121,Cs,MA,FA,Pb,Cl,Br,I,0.1000,0.1530,0.7470,,0.17,0.83,1.6200,correct,TRUE,,film,correct,Multi-Cation Perovskite Semiconductors for All-Perovskite Tandem Solar Cells | Semantic Scholar
122,Cs,MA,FA,Pb,Cl,Br,I,,1.0000,,,1.0000,,2.3000,correct,TRUE,,film,same article,Wide and Tunable Bandgap MAPbBr3−xClx Hybrid Perovskites with Enhanced Phase Stability: In Situ Investigation and Photovoltaic Devices - Tang - 2021 - Solar RRL - Wiley Online Library
123,Cs,MA,FA,Pb,Cl,Br,I,,1.0000,,0.3330,0.6670,,2.5000,correct,TRUE,,film,same article,Wide and Tunable Bandgap MAPbBr3−xClx Hybrid Perovskites with Enhanced Phase Stability: In Situ Investigation and Photovoltaic Devices - Tang - 2021 - Solar RRL - Wiley Online Library
124,Cs,MA,FA,Pb,Cl,Br,I,,1.0000,,0.5000,0.5000,,2.6500,correct,TRUE,,film,same article,Wide and Tunable Bandgap MAPbBr3−xClx Hybrid Perovskites with Enhanced Phase Stability: In Situ Investigation and Photovoltaic Devices - Tang - 2021 - Solar RRL - Wiley Online Library
125,Cs,MA,FA,Pb,Cl,Br,I,,1.0000,,0.6670,0.3330,,2.7500,correct,TRUE,,film,same article,Wide and Tunable Bandgap MAPbBr3−xClx Hybrid Perovskites with Enhanced Phase Stability: In Situ Investigation and Photovoltaic Devices - Tang - 2021 - Solar RRL - Wiley Online Library
126,Cs,MA,FA,Pb,Cl,Br,I,,1.0000,,1.0000,,,3.1000,correct,TRUE,,film,same article,Wide and Tunable Bandgap MAPbBr3−xClx Hybrid Perovskites with Enhanced Phase Stability: In Situ Investigation and Photovoltaic Devices - Tang - 2021 - Solar RRL - Wiley Online Library
