,rownum,xA,yA,zA,xC,yC,zC,rA,rB,rC,TF,Eg,duplicated,predicted,test,error
31,42.0,1.0,0.0,0.0,0.0,0.0,1.0,1.67,1.19,2.2,0.8072280953368551,1.73,1,1.4999545895159838,,0.13297422571330414
46,57.0,1.0,0.0,0.0,0.0,0.0,1.0,1.67,1.19,2.2,0.8072280953368551,1.72,0,1.4999545895159838,,0.1279333781883815
108,119.0,0.05,0.1615,0.7885,0.17,0.0,0.83,2.427245,1.19,2.1337,0.9703267858467604,1.55,0,1.7062954163748785,,0.10083575249992156
115,126.0,0.0,1.0,0.0,1.0,0.0,0.0,2.16,1.19,1.81,0.935737973770198,3.1,0,2.7656129388425037,,0.10786679392177302
